"KeySite",,"TaxUnit",,"Timeslice","Coordinates",,"Dating","Dating method","Quality of dating","Site type","Site stratification","Assemblage position","Assemblage coherence","Site faunal remains","Year of excavation","Literature","Availability of Armature Outlines",,,,"Availability of Endscraper Outlines",,,,"Availability of Borer Outlines",,,,,,
,,,,,"Long","Lat","BP",,"Select from drop-down menu","Select from drop-down menu","Select from drop-down menu","Select from drop-down menu","Select from drop-down menu","Select from drop-down menu","Select from drop-down menu",,,,,,,,,,,,,,,,
"Key_site","Level_layer_concentration","TaxUnit","TaxUnit_unique","Timeslice","Long","Lat","Dating_BP","Dating_method","Dating_qual","Site_type","Site_strat","Ass_pos","Ass_coh","Site_fau","Site_excav","Key_references","Outline_AR_TS1","Outline_AR_TS2","Outline_AR_TS3","Outline_AR_TS4","Outline_ES_TS1","Outline_ES_TS2","Outline_ES_TS3","Outline_ES_TS4","Outline_BR_TS1","Outline_BR_TS2","Outline_BR_TS3","Outline_BR_TS4","Macro_region","Macro_region_code","Comments"
"Mollehoje",,"Brommean","Brom_SS",3,9.12,56.52,"13,000-12,700","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Riede and Mork 2011",,,"x",,,,"x",,,,,,"Southern Scandinavia","SS",
"Unken","Dunkle humose Schicht","Aziloid Alps","AzilTSG_ASH",4,12.730152,47.644134,"12,000-9,500","C14","Reliable","Rockshelter","Stratified","Secondary/relocated","Homogeneous","Preseved","1950-1980","Windisch 2014",,,,"x",,,,"x",,,,"x","Austria, Slovakia and Hungary","ASH","Finds are paritially in primary and partially in secondary find position. Position of sample for 14C-date was not documented."
"Elsbethen","Grabung 1: 2 / Grabung 2: 3a, 4a, 5a","Late Magdalenian","LMag_ASH",1,13.086104,47.763351,"15,000-14,000","Typology","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Rettenbacher 1998",,,,,,,,,,,,,"Austria, Slovakia and Hungary","ASH",
"Elsbethen","Grabung 1: 3a / Grabungs 2: 5b-6a","Aziloid Alps","AzilTSG_ASH",2,13.086104,47.763351,"14,000-13,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Rettenbacher 1998",,"x",,,,,,,,,,,"Austria, Slovakia and Hungary","ASH",
"Gamssulzenhoehle","Rötlich-braunes Lehmband - ""Kulturschicht""","Aziloid Alps","AzilTSG_ASH",4,14.295717,47.679817,"12,000-11,000","C14","Problematic","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Kühtreiber and Kunst 1995",,,,"x",,,,"x",,,,,"Austria, Slovakia and Hungary","ASH","Radiocarbon-dating via faunal assemblage, not directly affiliated with artefacts."
"Unter den Seewaenden","1 Fundhorizont: Mischung aus Sediment 4 und 7","Aziloid Alps","AzilTSG_ASH","2,3",10.592923,47.571749,"14,000-12,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Gehlen 2001",,"x","x",,,"x","x",,,"x","x",,"Austria, Slovakia and Hungary","ASH",
"Altwasserhoehle","OK Schicht C; UK Schicht B","Epigravettiano recente","REpigrav_ASH",4,9.476824,47.282723,"12,000-11,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Jagher et al. 1997",,,,"x",,,,,,,,,"Austria, Slovakia and Hungary","ASH","Site with no cores"
"Kamegg","Verfüllungs Hallstattzeitliche Grube","Aziloid - Tradition Eastern Central Europe","AzilTECE_ASH","2,3,4",15.65832,48.61153,"14,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Nutz 2006,Schwarz 2007",,"x","x","x",,"x","x","x",,"x","x","x","Austria, Slovakia and Hungary","ASH",
"Horn-Galgenberg","Sandige Verfüllschicht flacher Mulden","Aziloid - Tradition Eastern Central Europe","AzilTECE_ASH","2,3,4",15.67763,48.66015,"14,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Antl-Wieser 1986",,"x","x","x",,"x","x","x",,,,,"Austria, Slovakia and Hungary","ASH",
"Zöld Cave","Layer 3","Late Epigravettian","LEpigrav_ASH",1,18.984693,47.622886,"16,000-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Beres et al. 2020","x",,,,,,,,,,,,"Austria, Slovakia and Hungary","ASH",
"Esztergom","archaeological layer, reddish-brown - sample from hearth feature","Late Epigravettian","LEpigrav_ASH",1,18.740335,47.785698,"20,000-19,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Dobosi et al. 1991,Lengyel 2008-2009","(x)",,,,"(x)",,,,"(x)",,,,"Austria, Slovakia and Hungary","ASH",
"Nadap","Cultural layer 7 - sandy slope loess","Late Epigravettian","LEpigrav_ASH",1,18.577881,47.243813,"16,000-15,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Dobosi et al. 1988,Lengyel 2008-2009","x",,,,"x",,,,,,,,"Austria, Slovakia and Hungary","ASH",
"Stará Ľubovňa – Pod Štokom II","light brown greasy filling (layer 2)","Late Magdalenian","LMag_ASH",1,20.670862,49.316898,"15,000-14,000?","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Valde-Nowak et al. 2007",,,,,,,,,,,,,"Austria, Slovakia and Hungary","ASH",
"Szeksârd - Palânk","gelbiche, sandige Löss-Schicht","Late Palaeolithic generic","LPal_ASH","3,4",18.703889,46.355833,"13,000-11,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Vértes 1962",,,"x","x",,,"x","x",,,"x","x","Austria, Slovakia and Hungary","ASH",
"Orp","EAST and WEST","Magdalenian","Mag_BSN",1,4.97,50.69,"13.7 - 11.8 kyr BP","TL on flint","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Vermeersch 1987 ","x",,,,"x",,,,"x",,,,"Belgium and Southern Netherlands","BSN",
"Eyserheide","clusters A to D","Magdalenian","Mag_BSN",1,5.93,50.84,"na","na",,"Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Rensink 2010 ",,,,,"x",,,,"x",,,,"Belgium and Southern Netherlands","BSN",
"Bois Laiterie cave","strata YSS+BSC","Magdalenian","Mag_BSN",1,4.86,50.36,"12.6 kyr BP","three 14C-dates AMS, dates of 12,660; 12,625; 12665; two on bone, one on antler","Reliable","Cave","Stratified","Secondary/relocated","Homogeneous","Preseved","1980-2000","Otte and Strauss 1997","x",,,,"x",,,,"x",,,,"Belgium and Southern Netherlands","BSN",
"Trou de Chaleux","Otte and older Dupont excavations","Magdalenian","Mag_BSN",1,4.95,50.22,"12.9 - 12.7 kyr BP","5 14C dates (two AMS) four of which in the same time range. ","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Otte 1994","x",,,,"x",,,,"x",,,,"Belgium and Southern Netherlands","BSN",
"Rekem","entire site (16 clusters)","Federmesser","Feder_BSN",2,5.69,50.91,"11,350 BP (OxA-942)","14C - resin","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","De Bie and Caspar 2000 ",,"x",,,,"x",,,,"x",,,"Belgium and Southern Netherlands","BSN",
"Doel B","three vague concentrations","Federmesser","Feder_BSN",2,4.15,51.17,"na","na",,"Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Perdaen et al. 2004",,"x",,,,,,,,,,,"Belgium and Southern Netherlands","BSN",
"Meer","three concentrations","Federmesser","Feder_BSN",2,4.74,51.45,"na","na",,"Openair","Stratified","Primary/insitu","Mixed","No","1950-1980","Van Noten 1978",,"x",,,,"x",,,,"x",,,"Belgium and Southern Netherlands","BSN",
"Milheeze Hutseberg","two concentrations","Federmesser","Feder_BSN",2,5.81,51.51,"11,150 ± 60","14C cremated bone","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Rozoy 1978,Lauwerier and Deeben 2011",,"x",,,,"x",,,,"x",,,"Belgium and Southern Netherlands","BSN",
"Westelbeers","several concentrations (minimum one but mixed with Early Mesolithic)","Federmesser","Feder_BSN",2,5.21,51.44,"11,510 ± 60; 11,030 ± 45","14C cremated bone","Reliable","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Arts and Deeben 1976,Snijders 2000",,"x",,,,"x",,,,,,,"Belgium and Southern Netherlands","BSN",
"Ruien","two concentrations (coeval, cf refitting)","Epi-Ahrensburgian","EpiAhr_BSN",3,3.47,50.77,"10,962 ± 48; ","14C - ash from hearth (there is a second date with different pretreatment but statistically coherent result)","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Crombé et al. 2014",,,,,,,,,,,,,"Belgium and Southern Netherlands","BSN",
"Zonhoven-Molenheide","five concentrations (coeval refitting)","Epi-Ahrensburgian","EpiAhr_BSN",3,5.42,51,"10,760  ± 70","14C-charcoal from concentration (nt from hearth)","Problematic","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Vermeersch 2013",,,"x",,,,"x",,,,,,"Belgium and Southern Netherlands","BSN",
"Remouchamps","occupation layer cave site","Epi-Ahrensburgian","EpiAhr_BSN",3,5.71,50.48,"3 dates ranging from 10.8 to 10.3 kyr BP","14C (two AMS) on cutmarked bones","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Dewez 1974",,,"x",,,,"x",,,,"x",,"Belgium and Southern Netherlands","BSN",
"Geldrop Mie Peels","single occupation layer","Epi-Ahrensburgian","EpiAhr_BSN",3,5.56,51.41,"10,610±110 BP","14C on charcoal from charcoal patch","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Deeben and Schreurs 2012",,,"x",,,,"x",,,,,,"Belgium and Southern Netherlands","BSN",
"Geldrop 3-2 Oost","single cluster","Epi-Ahrensburgian","EpiAhr_BSN",4,5.56,51.41,"9,970 ± 60","14C on calcined bone","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Deeben 1996,Crombé et al. 2014",,,,"x",,,,"x",,,,,"Belgium and Southern Netherlands","BSN",
"Eersel-Panberg","single find layer","Epi-Ahrensburgian","EpiAhr_BSN",4,5.28,51.34,"8,810  ± 70","14C on calcined bone","Problematic","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Deeben et al. 2000,Crombé et al. 2014",,,,"x",,,,"x",,,,,"Belgium and Southern Netherlands","BSN",
"Zonhoven-Kapelberg","single concentration","Epi-Ahrensburgian","EpiAhr_BSN",4,5.41,50.99,"na","much younger date on charcoal of ca. 6 kyr BP","Problematic","Openair","Stratified","Secondary/relocated","Homogeneous","No","1980-2000","Huyghe 1985",,,,,,,,,,,,,"Belgium and Southern Netherlands","BSN",
"Hostim",,"Magdalenian","Mag_BOMO",1,14.116111,49.954444,"16041-13480","14C","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Vencl 1995","x",,,,"x",,,,"x",,,,"Bohemia and Moravia","BOMO",
"Pekárna Cave",,"Magdalenian","Mag_BOMO",1,16.746111,49.241944,"15190-14263; 15400-14878","14C","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Klíma 1974,Svoboda 1991,Svoboda et al. 2000","x",,,,"x",,,,"x",,,,"Bohemia and Moravia","BOMO",
"Loštice I",,"Magdalenian","Mag_BOMO",1,16.922777,49.728888,"na","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Neruda et al. 2009","x",,,,"x",,,,"x",,,,"Bohemia and Moravia","BOMO",
"Kůlna Cave","layers 5 and 6","Magdalenian","Mag_BOMO",2,16.737777,49.408333,"13538-13217; 13648-13358 (both from layer 6)","14C","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Valoch 1988,Valoch and Neruda 2005",,"x",,,,"x",,,,"x",,,"Bohemia and Moravia","BOMO",
"Kůlna Cave","layer 4","Epimagdalenian","EpiMag_BOMO",2,16.737777,49.408333,"13375-13120; 13560-13213","14C","Reliable","Cave","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Valoch 1988",,"x",,,,"x",,,,"x",,,"Bohemia and Moravia","BOMO",
"Lhota u Kestřan 1",,"Epimagdalenian","EpiMag_BOMO",2,14.0819444,49.258333,"na","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1950-1980","Vencl 1970",,"x",,,,"x",,,,,,,"Bohemia and Moravia","BOMO",
"Komořany",,"ABP Federmesser","ABPFeder_BOMO",2,13.5788,50.53421,"na","Typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","Before WW2","Vencl 1970",,"x",,,,"x",,,,"x",,,"Bohemia and Moravia","BOMO",
"Šipka Cave",,"ABP Federmesser","ABPFeder_BOMO",2,18.1206,49.58811,"na","Typology,Stratigraphy","Problematic","Cave","Stratified","Primary/insitu","Homogeneous","No","Before WW2","Valoch 1957",,,,,,,,,,,,,"Bohemia and Moravia","BOMO",
"Tišnov",,"ABP Tishnovian","ABPTishn_BOMO","2,3",16.403888,49.359444,"na","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Kos 1971",,,"x",,,,"x",,,,"x",,"Bohemia and Moravia","BOMO",
"Voletiny",,"ABP Tishnovian","ABPTishn_BOMO","2,3",15.9475,50.579722,"na","Typology","Problematic","Openair","Stratified","Secondary/relocated","Homogeneous","No","1950-1980","Vencl 1978",,,"x",,,,"x",,,,,,"Bohemia and Moravia","BOMO",
"Plzeň-Roudná",,"ABP Tishnovian","ABPTishn_BOMO","2,3",13.381666,49.7625,"na","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Vencl 1988",,,"x",,,,"x",,,,"x",,"Bohemia and Moravia","BOMO",
"Kůlna Cave","layer 3","Mesolithic","Meso_BOMO",4,16.737777,49.408333,"11931-11329","14C","Problematic","Cave","Stratified","Secondary/relocated","Mixed","Preseved","1950-1980","Valoch 1988,Valoch and Neruda 2005",,,,"x",,,,"x",,,,"x","Bohemia and Moravia","BOMO",
"Kašėtos",,"Hamburgian","Ham_LT",2,24.59,54.08,"14,000-13,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2002,2005a,2016",,"x",,,,,,,,"x",,,"Lithuania","LT","The lithic collection are very scarce, collected from surface, therefore besides armatures and two borers no other finds were identified for this tax unit"
"Margiai Island",,"Hamburgian","Ham_LT",2,24.69,54.03,"14,000-13,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2002,2005a,2016",,"x",,,,"x",,,,,,,"Lithuania","LT","The lithic collection are very scarce, collected from surface, therefore besides armatures and one blade scraper no other finds were identified for this tax unit"
"Maksimonys 1",,"Hamburgian","Ham_LT",2,24.16,54.16,"14,000-13,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2002,2005a,2016",,"x",,,,,,,,,,,"Lithuania","LT","The lithic collection are very scarce, collected from surface, therefore besides three fragmentary armatures with thick whitish patina no other finds were identified for this tax unit"
"Ežerynas 11",,"Federmesser","Feder_LT","2,3",23.95,54.19,"13,000-12,000","Typology","Problematic","Openair","Stratified","Secondary/relocated","Mixed","No","1980-2000","Šatavičius 2005a,2016",,,,,,"x","x",,,,,,"Lithuania","LT","Very scarce collection from mixed site. Only several fragments of lithics were ascribed with this assemblages"
"Parupė",,"Brommean","Brom_LT",3,24.76,56.4,"13,000-12,000","C14","Problematic","Openair","Surface","Secondary/relocated","Mixed","Preseved","After 2000","Girininkas et al. 2016,Rmkus and Girininkas 2021 (submitted)",,,"x",,,,"x",,,,,,"Lithuania","LT","Surface collection of lithic finds characteristic to the Late Palaeolithic. The reindeer antler axe dated to 11 170±40 BP was found close to the lithic assemblage, however it lacks direct find context with lithics.  "
"Maskauka 6",,"Brommean","Brom_LT",3,24.63,54.29,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2004",,,"x",,,,"x",,,,,,"Lithuania","LT","Surface collection of small assemblages that author ascribed to the Brommian group."
"Mergežeris 8",,"Brommean","Brom_LT",3,24.5,54.19,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2004",,,"x",,,,"x",,,,,,"Lithuania","LT","Small surface collection of lithics."
"Ežerynas 9",,"Brommean","Brom_LT",3,23.97,54.2,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2004,2016",,,"x",,,,,,,,,,"Lithuania","LT","The site was located at first with surface finds and only later excavated, however it did not revealed wider Brommian assemblages."
"Ežerynas 16",,"Brommean","Brom_LT",3,23.97,54.2,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1950-1980","Šatavičius 2004,2016",,,"x",,,,,,,,,,"Lithuania","LT","The site was located at first with surface finds and only later excavated, however it did not revealed wider Brommian assemblages."
"Ežerynas 17",,"Brommean","Brom_LT",3,23.97,54.2,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1950-1980","Šatavičius 2004,2016",,,,,,,,,,,,,"Lithuania","LT","The site was located at first with surface finds and only later excavated, however it did not revealed wider Brommian assemblages."
"Šilelis 2",,"Ahrensburgian","Ahr_LT",3,23.75,54.93,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2005a",,,"x",,,,,,,,,,"Lithuania","LT","The small assemblages of lithics with fragments of tanged points, scrapers, core and burins were ascribed to the Ahresnburgian group by the author."
"Aukštumala",,"Swiderian","Swid_LT",4,21.41,55.38,"12,000-11,000","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Grigaliūnas 2013,Rimkus 2019",,,,"x",,,,"x",,,,"x","Lithuania","LT","Some of materials from site might be relocated due to intensive human activity in the area. The site contain Swiderian assemblgaes in the lower C layer, however part of it might be mixed with Early Mesolithic finds in the middle layer B."
"Kabeliai 2","lower C layer","Swiderian","Swid_LT",4,24.3,53.98,"12,000-11,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Ostrauskas 2002",,,,"x",,,,"x",,,,,"Lithuania","LT","The site contain Swiderian assemblage in the lower C layer, however part of it might be mixed with Early Mesolithic finds in the middle layer B."
"Pasieniai 1","C layer","Swiderian","Swid_LT",4,25.14,54.68,"12,000-11,000","Typology","Problematic","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Šatavičius 1998,2005b",,,,"x",,,,"x",,,,,"Lithuania","LT","The site has admixture from later Stone Age periods"
"Titnas 1A",,"Swiderian","Swid_LT",4,24.65,54.07,"12,000-11,000","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Šatavičius 2005b,2012a",,,,,,,,,,,,,"Lithuania","LT","The site is considered as flint extraction and core preparation site. Only opposite two platform cores were found in separate clusters, some of them containing hammer stones. Only one possible fragment of tang was found and no other finds."
"Mergežeris 3",,"Swiderian","Swid_LT",4,24.49,54.19,"12,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2005b",,,,"x",,,,,,,,,"Lithuania","LT","Only tanged points were ascribed to the Swiderian assemblage from the surface finds."
"Sudota 2",,"Swiderian","Swid_LT",4,25.97,55.12,"12,000-11,000","Typology","Problematic","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Šatavičius 2005b,2012b",,,,"x",,,,"x",,,,"x","Lithuania","LT","The site is mixed with Mesolithic, Neolithic and Iron Age finds."
"Riparo Tagliente ","from (11?) 10 to 7 (4?)","Late Epigravettian (Phase 2)","LEpigrav_NEI","1,2",11.00564,45.54057,"15,500-13,500","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Bartolomei et al. 1984,Fontana et al. 2015,Montoya 2004","x","x",,,"x","x",,,,,,,"Northeastern Italy","NEI",
"Riparo Villabruna","from 17 to 10","Late Epigravettian (Phase 2)","LEpigrav_NEI","1,2",11.76475,46.08463,"14,800-13,400","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Aimar et al. 1994,Montoya 2004,Montoya and Peresani 2005","x","x",,,"x","x",,,,,,,"Northeastern Italy","NEI",
"Grotta del Clusantin","SU 4 (+12, 13, 15)","Late Epigravettian (Phase 2)","LEpigrav_NEI","1,2",12.88669,46.24509,"14,800-13,500","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Peresani et al. 2008","x","x",,,"x","x",,,,,,,"Northeastern Italy","NEI",
"Riparo Dalmeri","SU 15a-65","Late Epigravettian (Phase 2)","LEpigrav_NEI",2,11.6021,45.99347,"13,500-13,200","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Montoya 2008,Agogué and Dalmeri 2005",,,"x",,,,,,,,,,"Northeastern Italy","NEI",
"Riparo Biarzo","SU 5","Late Epigravettian (Phase 3)","LEpigrav_NEI","2,3",13.48456,46.14387,"13,200-12,800","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Guerreschi 1996",,,"x",,,,"x",,,,,,"Northeastern Italy","NEI",
"Riparo Dalmeri","SSUU 14,26b","Late Epigravettian (Phase 3)","LEpigrav_NEI",3,11.6021,45.99347,"13,200-12,500","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Bassetti et al 1995,1998,Lemorini et al. 2005",,,,,,,,,,,,,"Northeastern Italy","NEI",
"Riparo La Cogola ","SU 19","Late Epigravettian (Phase 3)","LEpigrav_NEI",3,11.22979,45.9322,"12,900-12,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Cusinato 2003,Cusinato et al. 2004",,,,,,,,,,,,,"Northeastern Italy","NEI",
"Palù Echen","SSUU 6, 7","Late Epigravettian (Phase 3)","LEpigrav_NEI",3,11.19577,45.91224,"12,400-12,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Dalmeri et al. 2013",,,"x",,,,"x",,,,,,"Northeastern Italy","NEI",
"Riparo La Cogola","SU 18","Late Epigravettian (Phase 4)/Early Sauveterrian","LEpigravESauv_NEI",4,11.22979,45.9322,"11,400-11,100","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Cusinato 2003,Cusinato et al. 2004",,,"x","x",,,"x","x",,,,,"Northeastern Italy","NEI",
"Le Regole 3",,"Late Epigravettian (Phase 4)/Early Sauveterrian","LEpigravESauv_NEI",4,11.10844,46.47596,"11,200-10,900","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Dalmeri et al. 2004",,,,,,,,,,,,,"Northeastern Italy","NEI",
"Riparo di Romagnano, Loc III","AF","Early Sauveterrian (Phase 4)","ESauv_NEI",4,11.10611,46.00724,"11,700-10,900","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Broglio and Kozlowski 1984,Flor et al. 2011",,,,"x",,,,,,,,,"Northeastern Italy","NEI",
"Plan de Frea IV","3BIV","Early Sauveterrian (Phase 4)","ESauv_NEI",4,11.817,46.54714,"11,600-11,200","C15","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Angelucci et al. 2001",,,,,,,,,,,,,"Northeastern Italy","NEI",
"Colbricon 9",,"Early Sauveterrian (Phase 4)","ESauv_NEI",4,11.7662,46.27846,"11,200-10,800","C16","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Bagolini and Dalmeri 1987",,,,,,,,,,,,,"Northeastern Italy","NEI",
"Weitsche",,"Federmesser ","Feder_NG",2,11.1265,53.0275,"14000-13000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Veil et al. 2015",,"x",,,,"x",,,,"x",,,"Northern Germany","NG",
"Poggenwisch",,"Hamburgian","Ham_NG",1,10.203,53.64,"15000-14000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Rust 1958","x",,,,"x",,,,"x",,,,"Northern Germany","NG",
"Wehlen",,"Federmesser ","Feder_NG","1,2,3",14.001,50.964,"15000-12000","Typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","Before WW2","Schwabedissen 1954","x","x","x",,,,,,,,,,"Northern Germany","NG",
"Ahrenshöft LA 58 a",,"Havelte ","Hav_NG",2,9.069,54.559,"14000-13000","Typology","Reliable","Openair","Surface","Secondary/relocated","Homogeneous","No","1950-1980","Hartz 1987",,"x",,,,"x",,,,"x",,,"Northern Germany","NG",
"Ahrenshöft LA 58 d",,"Havelte ","Hav_NG",2,9.069,54.559,14000,"C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Weber et al. 2010",,"x",,,,"x",,,,,,,"Northern Germany","NG",
"Duvensee WP8",,"Maglemose","Magle_NG",4,10.545,53.699,11000,"C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Holst 2014",,,,"x",,,,"x",,,,"x","Northern Germany","NG",
