"KeySite",,"TaxUnit",,"Timeslice","Coordinates",,"Dating","Dating method","Quality of dating","Site type","Site stratification","Assemblage position","Assemblage coherence","Site faunal remains","Year of excavation","Literature","Availability of Armature Outlines",,,,"Availability of Endscraper Outlines",,,,"Availability of Borer Outlines",,,,,,
"Rydno ""Pastwisko"" ","cut IV-1960","Brommean","Brom_PL",3,20.94926388,51.1154089,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,"x",,,,,,,,,,"Poland","PL",
"Rydno ""Pastwisko"" ","cut XI-1961","Brommean","Brom_PL",3,20.94926388,51.1154089,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,"x",,,,,,,,,,"Poland","PL",
"Szczecin-Bukowo 1",,"Brommean","Brom_PL",3,14.55695654,53.49463403,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Galiński 1997",,,"x",,,,,,,,"x",,"Poland","PL",
"Bohatery Lesne 2 ""Biale""",,"Perstunian","Perst_PL",3,23.52085988,53.7964726,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Szymczak 1995",,,"x",,,,"x",,,,,,"Poland","PL",
"Calowanie ","level IVa","Perstunian","Perst_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,"x",,,,"x",,,,,,"Poland","PL",
"Wolkusz 5 ""W sadzie""",,"Perstunian","Perst_PL",3,23.51948461,53.80865003,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Szymczak 1992",,,"x",,,,"x",,,,,,"Poland","PL",
"Burdeniszki 1 d-e",,"Wołkuszian","Wolk_PL",3,23.12897814,54.07712989,"12900-12600 calBP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Szymczak 1995",,,"x",,,,,,,,,,"Poland","PL",
"Burdeniszki 4",,"Wołkuszian","Wolk_PL",3,23.12897814,54.07712989,"12900-12600 calBP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Szymczak 1995",,,"x",,,,,,,,,,"Poland","PL",
"Burdeniszki 4a",,"Wołkuszian","Wolk_PL",3,23.12897814,54.07712989,"12900-12600 calBP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Szymczak 1995",,,"x",,,,,,,,,,"Poland","PL",
"Calowanie level V","cut IX","Wołkuszian","Wolk_PL",4,23.12897815,54.0771299,"12900-12600 calBP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,"x",,,,"x",,,,,,"Poland","PL",
"Calowanie level V","cut XI","Wołkuszian","Wolk_PL",3,21.34038387,52.01297944,"12900-12600 calBP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1981","Schild et al. 2014",,,"x",,,,"x",,,,"x",,"Poland","PL",
"Rydno ""Pastwisko""","cut VII-1960","Wołkuszian","Wolk_PL",3,20.94926388,51.1154089,"12900-12600 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,"x",,,,,,,,,,"Poland","PL",
"Rydno ""Sahara""","cut V-1977","Wołkuszian","Wolk_PL",3,20.94926388,51.1154089,"12900-12600 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,"x",,,,"x",,,,,,"Poland","PL",
"Wolkusz 3",,"Wołkuszian","Wolk_PL",3,23.51948461,53.80865003,"12900-12600 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Szymczak 1995",,,"x",,,,"x",,,,,,"Poland","PL",
"Wolkusz 5 ""Skupisko z lisciakiem""",,"Wołkuszian","Wolk_PL",3,23.51948461,53.80865003,"12900-12600 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Szymczak 1992",,,"x",,,,"x",,,,,,"Poland","PL",
"Bolkow 1",,"Epi-Ahrensburgian","EpiAhr_PL",4,14.35293003,53.55252203,"11300-10500 calBP","Mkl-3390 9620±70, Mkl-3351 9680±50","Reliable","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Galiński 2018",,,,"x",,,,"x",,,,"x","Poland","PL",
"Całowanie","level VI cut V","Epi-Ahrensburgian","EpiAhr_PL",4,21.34038387,52.01297944,"11300-10500 calBP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,,"x",,,,"x",,,,,"Poland","PL",
"Kocierz 3 ","assemblage 1","Epi-Ahrensburgian","EpiAhr_PL",4,15.27559641,53.84055827,"11300-10500 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No",,"Galinski 1999",,,,"x",,,,"x",,,,,"Poland","PL",
"Kocierz 3 ","assemblage 2","Epi-Ahrensburgian","EpiAhr_PL",4,15.27559641,53.84055827,"11300-10500 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No",,"Galinski 1999",,,,"x",,,,"x",,,,"x","Poland","PL",
"Krakow-Biezanow 20","assemblage 1","Swiderian","Swid_PL",4,20.05143359,50.00658158,"12400-11300 cal BP","Poz-102094 9770±50 BP","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Stefański 2017",,,,"x",,,,"x",,,,,"Poland","PL",
"Kraków-Bieżanów 15","assemblage 1","Swiderian","Swid_PL",4,20.05143359,50.00658158,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Stefański 2017",,,,"x",,,,"x",,,,,"Poland","PL",
"Calowanie","level VI cut I","Swiderian","Swid_PL",4,21.34038387,52.01297944,"12400-11300 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,,"x",,,,"x",,,,,"Poland","PL",
"Calowanie","level VI cut III West","Swiderian","Swid_PL",4,21.34038387,52.01297944,"12400-11300 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,,"x",,,,"x",,,,,"Poland","PL",
"Calowanie","level VI cut III Center","Swiderian","Swid_PL",4,21.34038387,52.01297944,"12400-11300 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,,"x",,,,,,,,"x","Poland","PL",
"Calowanie","level VI cut III East","Swiderian","Swid_PL",4,21.34038387,52.01297944,"12400-11300 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,,"x",,,,"x",,,,,"Poland","PL",
"Lykowe 1",,"Swiderian","Swid_PL",4,18.76114934,51.20069038,"12400-11300 cal BP","typology","Reliable","Openair","Surface",,,"No",,"Cyrek 1996",,,,"x",,,,"x",,,,,"Poland","PL",
"Rydno ""Michalow-Piaska""","cut I-1996","Swiderian","Swid_PL",4,20.94926388,51.1154089,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,,"x",,,,"x",,,,,"Poland","PL",
"Rydno ""Pastwisko""","cut IV-1957","Swiderian","Swid_PL",4,20.94926388,51.1154089,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,,"x",,,,"x",,,,"x","Poland","PL",
"Rydno ""Sandro""","cut I-1957","Swiderian","Swid_PL",4,20.94926388,51.1154089,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,,"x",,,,"x",,,,,"Poland","PL",
"Cichmiana 2","assemblage 1","Swiderian-Ahrensburgian","SwidAhr_PL",4,18.7940049909,52.087738361,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Kabaciński and Sobkowiak-Tabaka 2009",,,,"x",,,,"x",,,,,"Poland","PL",
"Kochlew 1",,"Swiderian-Ahrensburgian","SwidAhr_PL",4,18.78315089,51.20428414,"12400-11300 cal BP","Lod-143 10260 ±210.charcoals from geological layer; Lod-142 10380 ±220 charcoal from layers with Palaeolithic artefacts","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Cyrek 1996",,,,"x",,,,"x",,,,"x","Poland","PL",
"Przeginia Narodowa 1",,"Swiderian-Ahrensburgian","SwidAhr_PL",4,19.64823677,50.00930445,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Unpublished",,,,"x",,,,"x",,,,,"Poland","PL",
"Szczebra 14",,"Swiderian-Ahrensburgian","SwidAhr_PL",4,22.9762338331,53.9036126148,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Siemaszko 2000",,,,"x",,,,,,,,,"Poland","PL",
"Wojnowo A","cut I-1975","Swiderian-Ahrensburgian","SwidAhr_PL",4,15.78867954,52.1066325,"12400-11300 cal BP","Wojnowo a” Poz-66522 10410±50, Poz-66523 10250±50, Poz-66524 10400±50, Poz-66525 10210±50 – charcoals from gyttia","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Kobusiewicz 2016",,,,"x",,,,"x",,,,"x","Poland","PL",
"Wojnowo A","cut III-1975","Swiderian-Ahrensburgian","SwidAhr_PL",4,15.78867954,52.1066325,"12400-11300 cal BP","as above","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Kobusiewicz 2016",,,,"x",,,,"x",,,,"x","Poland","PL",
"Krakow-Biezanow 15","assemblage 3","Płudian","Plu_PL",4,20.05143359,50.00658158,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Stefański 2017",,,,"x",,,,"x",,,,,"Poland","PL",
"Zagacie 2",,"Płudian","Plu_PL",4,19.704088,50.000066,"11500-10500 cal BP","Poz-94374 9490±50 BP charcoal Pinus sylvestris","Problematic","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Pawłowska 2003",,,,"x",,,,"x",,,,,"Poland","PL",
"Rydno ""U Wygonu""","cut XI-1959","Płudian","Plu_PL",4,20.94926388,51.1154089,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,,"x",,,,,,,,,"Poland","PL",
"Rydno ""U Wygonu""","cut II-1956","Płudian","Plu_PL",4,20.94926388,51.1154089,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,,"x",,,,"x",,,,,"Poland","PL",
"Lubon ""Z Wydmy""",,"Płudian","Plu_PL",4,16.8983886,52.3339493,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Kobusiewicz 1970",,,,"x",,,,"x",,,,,"Poland","PL",
"Pludy A",,"Płudian","Plu_PL",4,20.98999833,52.33414972,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Krukowski 1939-1948",,,,"x",,,,"x",,,,,"Poland","PL",
"Swidry Wielkie II",,"Płudian","Plu_PL",4,21.22248613,52.10089341,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Krukowski 1939-1948",,,,"x",,,,"x",,,,,"Poland","PL",
"Tokary-Rabiez",,"Płudian","Plu_PL",4,19.73176665,52.49700557,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Kozłowski 1964",,,,"x",,,,"x",,,,,"Poland","PL",
"Rascaño","Unit 2","Final Magdalenian","FMag_IBC",1,-3.7001,43.2971,"14,900-13,800P","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Gonzlaez Echegaray and Barandiarán 1981",,,,,"x",,,,,,,,"Cantabrian Spain","IBC",
"Santimamiñe","Lnc","Final Magdalenian","FMag_IBC",1,-2.6371,43.3453,"15,400-15,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Lopez Quintana et al. 2011","x",,,,,,,,,,,,"Cantabrian Spain","IBC",
"El Horno","Level 2","Final Magdalenian","FMag_IBC",1,-3.44817,43.25969,"15,000-13,800","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Fabio et al. 2020",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"La Pila ","IV-2","Final Magdalenian","FMag_IBC",1,-4.0148,43.4318,"14,800-13,700","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Gutiérrez 1998",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Abauntz","2r","Final Magdalenian","FMag_IBC",1,-1.63223,43.01151,"14,900-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Utrilla 1982",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Anton Koba","Unit VIII","Azilian","PAzil_IBC",2,-2.41147,42.99996,"14,800-12,900","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Armendáriz Gutiérrez 1997",,"x",,,,"x",,,,,,,"Cantabrian Spain","IBC",
"La Pila","Unit III","Azilian","PAzil_IBC",2,-4.0148,43.4318,"13,700-13,400","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Gutiérrez 1998",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Oscura de Ania","Unit 0b","Azilian","PAzil_IBC",2,-5.97633,43.40515,"14,300-13,300","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Adán Álvarez et al. 1999",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"El Mirón","Unit 11.1","Azilian","PAzil_IBC",2,-3.44991,43.2515,"13,900-13,300","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","González Morales and Straus 2012",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Balma Margineda","Units 8-10","Azilian","PAzil_IBC",2,1.52794,42.48281,"13,700-13,00","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Guilaine and Martzluff 1995",,"x","x",,,,,,,,,,"Cantabrian Spain","IBC",
"Los Azules","Unit 3cs","Azilian","EAzil_IBC",3,-4.94124,43.38246,"12,900-12,000 ","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Fernández-Tresguerres 1980",,,"x",,,,"x",,,,"x",,"Cantabrian Spain","IBC",
"Portugain","Unit 1","Azilian","EAzil_IBC",3,-2.20106,42.86212,"12,500-11,800 ","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Cava and Barandiarán 2008,Aguirre 2008",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Urratxa III","Unit II","Azilian","EAzil_IBC",3,-2.819,43.07141,"12,600-11,800","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Muñoz Salvatierra and Berganza 1997",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"La Riera","27 upper","Azilian","EAzil_IBC",3,-4.85779,43.42659,"12,800-12,200","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Straus and Clark 1986",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Balma Margineda","Unit 7sup","Azilian","EAzil_IBC",3,1.52794,42.48281,"12,600-11,700","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Guilaine et al. 2008,Martzluff et al., 2012",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Abrigo del Perro","Unit 2a","Azilian","LAzil_IBC",4,-3.43338,43.45226,"12,400-11,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Gonzalez Morales and Casado 1991-1992",,,,"x",,,,"x",,,,,"Cantabrian Spain","IBC",
"Santimamiñe","Arcp","Azilian","LAzil_IBC",4,-2.6371,43.3453,"11,900-11,300","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Lopez Quintana et al. 2011",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Oscura de Ania",,"Azilian","LAzil_IBC",4,-5.97633,43.40515,"11,100-10,500","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Adán Álvarez et al. 1999",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Ekain","Ivbase/V","Azilian","LAzil_IBC",4,-2.25172,43.24041,"11,200-10,200","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Altuna and Merino 1984",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Molí del Salt","Unit B2","Final Magdalenian","FMag_IBM",1,1.06605,41.3847,"15,100-14,200","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Vaquero 2004",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Parco","Unit II","Final Magdalenian","FMag_IBM",1,0.95454,41.92119,"15,000-14,300","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Langlais 2007,Mangado et al. 2006","x",,,,"x",,,,,,,,"Mediterranean Iberia","IBM",
"Forcas 1","Unit 14","Final Magdalenian","FMag_IBM",1,0.34015,42.17901,"15,200-14,600","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Utrilla and Mazo 2014,Utrilla et al. 2014",,,,,"x",,,,"x",,,,"Mediterranean Iberia","IBM",
"Cendres","Unit IX","Final Magdalenian","FMag_IBM",1,0.14636,38.68683,"15,000-14,200","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Villaverde and Román 2005",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Santa Maira","Unit 5","Final Magdalenian","FMag_IBM",1,-0.19785,38.74493,"14,500-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Vadillo and Aura 2019",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Nerja","Mina 16","Final Magdalenian","FMag_IBM",1,-3.78748,36.74455,"14,800-13,600","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Aura et al. 2013",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Tossal de la Roca","Unit II int","Final Magdalenian","FMag_IBM",1,-0.26279,38.78106,"14,500-14,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Cacho et al. 1995,Cacho and Martos 2004",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Peña de Estebanvela","Unit III","Final Magdalenian","FMag_IBM",1,-3.3366,41.3619,"14,700-14,100","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Cacho 2013",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Rascaño","Unit 2","Final Magdalenian","Fmag_IBC",1,-3.7001,43.2971,"14,900-13,800","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Gonzalez Echegaray and Bariandiarán 1981",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Atxoste","h2","Final Magdalenian","FMag_IBM",1,-2.4731,42.7575,"15,100-14,300","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Alday and Cava 2009,Soto 2014,Soto et al. 2015",,,,"x",,,,,,,,,"Mediterranean Iberia","IBM",
"Santimamiñe","Lnc","Final Magdalenian","Fmag_IBC",1,-2.6371,43.3453,"15,400-15,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Lopez Quintana et al. 2011",,,,,,,,,,,,,"Cantabrian Spain","IBC",
"Balma de Guilanya ","K","Azilian","EMag_IBM",1,1.6034,42.0812,"14,800-14,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Martinez Moreno and Mora 2009",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Chaves","Niveles 2b y 1c","Upper Magdalenian","FMag_IBM",1,-0.1527,42.2242,"15,200-14,100","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Utrilla and Laborda 2018",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Molí del Salt","Unit B1","Epipaleolithic/Epimagdalenian","EMag_IBM",2,1.06605,41.3847,"14,000-13,500","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Vaquero 2004",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Santa Maira","SM-4.2","Epipaleolithic/Epimagdalenian","EMag_IBM",2,-0.19785,38.74493,"13,900-13,500","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Vadillo and Aura 2019",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Balma de Guilanya","Unit Ej","Azilian","EMag_IBM",2,1.57798,42.05196,"14,200-13,900","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Martinez Moreno and Mora 2009",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Hort de la Boquera","Unit II","Epipaleolithic/Epimagdalenian","EMag_IBM",2,0.7561,41.2896,"13,800-13,500","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","García Argüelles et al. 2014",,"x",,,,"x",,,,,,,"Mediterranean Iberia","IBM",
"Roureda ","II","Epipaleolithic/Epimagdalenian","EMag_IBM",2,-0.23087,40.42109,"13,300-13,100","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Román 2012",,"x",,,,"x",,,,,,,"Mediterranean Iberia","IBM",
"Cingle de l'Aigua","Unit II ","Sauveterrian/Sauveterroid","Sauv_IBM",3,0.15444,40.5285,"12,700-12,200","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Román 2011",,,"x",,,,"x",,,,,,"Mediterranean Iberia","IBM",
"Balma de guilanya","E","Azilian","EMag_IBM",3,1.6034,42.0812,"12,900-12,700","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Martinez Moreno and Mora 2009",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Socuevas ","Unit III","Sauveterrian/Sauveterroid","Sauv_IBM",3,-2.92849,42.80759,"12,600-12,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Piedrabuena-Fernández 2018",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Filador","error","Epipaleolithic/Epimagdalenian","EMag_IBM",3,0.7638,41.27745,"12,800-12,600","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","García-Argüelles et al. 2005",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Peña 14","Level d","Sauveterrian/Sauveterroid","Sauv_IBM",3,-0.93779,42.37476,"12,700-12,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Soto et al. 2016",,,"x",,,,"x",,,,,,"Mediterranean Iberia","IBM",
"Cova dels Blaus","Uniy IVC-ly1-3","Sauveterrian/Sauveterroid","Sauv_IBM",3,-0.22837,39.85606,"12,700-12,500","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Casabó 2012",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Parco ","I asup","Sauveterrian/Sauveterroid","Sauv_IBM",3,0.95454,41.92119,"12,600-11,900","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Langlais 2007; Mangado et al. 2006",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Balma de Gai","Unit I.3","Sauveterrian/Sauveterroid","Sauv_IBM",4,2.12615,41.82863,"12,400-11,600","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","García-Argüelles et al. 2009",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Filador ","Unit 6/5","Sauveterrian/Sauveterroid","Sauv_IBM",4,0.7638,41.27745,"11,900-11,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","García-Argüelles et al. 2005",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Filador ","Unit 4","Sauveterrian/Sauveterroid","Sauv_IBM",4,0.7638,41.27745,"11,900-11,200","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","García-Argüelles et al. 2005",,,,"x",,,,"x",,,,,"Mediterranean Iberia","IBM",
"Atxoste","Unit Vib","Sauveterrian/Sauveterroid","Sauv_IBM",4,-2.4731,42.7575,"11,200-10,700","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Alday and Cava 2009,Soto 2014,Soto et al. 2015",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Santa Maira","Unit 4.1","Sauveterrian/Sauveterroid","Sauv_IBM",4,-0.19785,38.74493,"11,500-10,500","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Vadillo and Aura 2019",,,,,,,,,,,,,"Mediterranean Iberia","IBM",
"Lapa dos Coelhos","SU 4","Upper Magdalenian","UMag_IBA",1,-8.6154,39.5046,"14,400-13,900","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Gameiro et al. 2020","x",,,,,,,,,,,,"Atlantic Iberia","IBA",
"Lapa do Picareiro","F/G","Upper Magdalenian","UMag_IBA",1,-8.64804,39.52889,"14,800-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Holst 2017",,,,,,,,,,,,,"Atlantic Iberia","IBA",
"Lapa dos Coelhos","SU 3","Final Magdalenian","FMag_IBA",2,-8.6154,39.5046,"13,600-13,300","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Gameiro et al. 2020,Gameiro 2012",,"x",,,,"x",,,,"x",,,"Atlantic Iberia","IBA",
"Fariseu","Unit 4","Azilian","EAzil_IBA",3,-7.1088,41.0411,"12,600-12,200","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Gameiro et al. 2020,Gameiro 2012",,,,,,,,,,,,,"Atlantic Iberia","IBA",
"Quinta da Barca do Sul","Unit 3 (UA8)","Azilian","EAzil_IBA",3,-7.1036,40.9974,"10,700-13,100","TL","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Aubry et al. 2017",,,,,,,,,,,,,"Atlantic Iberia","IBA",
"Fariseu","Unit 4 (upper?)","Azilian","LAzil_IBA",4,-7.1088,41.0411,"11,700-10,700","C14/TL","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Gameiro et al. 2020,Gameiro 2012",,,,"x",,,,"x",,,,,"Atlantic Iberia","IBA",
